Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume
2015-01-02,170.91172873180355,171.32579919572484,169.08980858140774,170.12498474121094,121465900,24.671150729967486,24.68222562747745,23.776353422468404,24.214893341064453,212818400
2015-01-05,169.08155533396388,169.24718101537695,166.74620416225187,167.0526123046875,169632600,23.984547059464486,24.064281582572935,23.346672564388854,23.532718658447266,257142000
2015-01-06,167.3589659169749,167.88069864803924,164.68407475623997,165.47909545898438,209151400,23.596954189686496,23.79407522071628,23.17391806682534,23.53493881225586,263188400
2015-01-07,166.80415376773578,167.88073956316435,166.35696320099726,167.54119873046875,125346700,23.74312925787633,23.96461367890052,23.632387047364233,23.864946365356445,160423600
2015-01-08,168.94895966513573,170.7294695412918,168.9324059513201,170.51414489746094,147217800,24.19274507045464,24.83947920152161,24.07535690294467,24.781892776489258,237458000
2015-01-09,170.92832553753288,170.94489189846533,168.53499815824603,169.1478271484375,158567300,24.954644770225418,25.083106116593303,24.409793396428064,24.8084659576416,214798000
2015-01-12,169.28030541730055,169.43765422966325,167.21822977118725,167.82276916503906,144396100,24.93914461187825,24.9457888739138,24.097504854799798,24.197172164916992,198603200
2015-01-13,169.04012523018008,170.16639741804175,166.05053592069322,167.35072326660156,214553300,24.680013820160088,24.983448143293007,24.121873715993303,24.412017822265625,268367600
2015-01-14,165.3383521156499,166.53916672214785,164.4439709204368,166.3404083251953,192991100,24.150658281810262,24.471809973965815,24.03105650747729,24.318986892700195,195826400
2015-01-15,166.9780683165703,167.29275329332586,164.70068064236253,164.81661987304688,176613900,24.363288563314725,24.376577089070306,23.623531339856147,23.658967971801758,240056000
2015-01-16,164.60961945005315,167.13545247757153,164.4274273866629,166.9781036376953,211879600,23.70547405012303,23.827291140841854,23.30015720986781,23.475130081176758,314053200
2015-01-20,167.61573238611436,167.88074357008344,165.76898150488393,167.33416748046875,130991100,23.88487893049971,24.13515740540139,23.588090620181628,24.07978630065918,199599600
2015-01-21,166.8704144645625,168.6592020890844,166.40665751815214,168.1788787841797,122942700,24.13072836459436,24.598060654669688,23.98011888215598,24.263620376586914,194303600
2015-01-22,168.9324774316333,170.81234829538025,167.55776041788667,170.6798553466797,174356000,24.420878854689395,24.910359345032568,24.301277034591283,24.894855499267578,215185600
2015-01-23,170.4230721109834,170.67980634712626,169.61149774881008,169.74400329589844,117516800,24.872700239309875,25.193851962029953,24.702156295129555,25.0233097076416,185859200
2015-01-26,169.52881558910684,170.2327281309568,168.81661354671917,170.14163208007812,92009700,25.191634674096495,25.32895560764828,24.983440491359584,25.049884796142578,222460000
2015-01-27,168.0877619624292,169.04011895690113,167.06915217860907,167.8972930908203,134044600,24.899278232187047,24.912568446521064,24.14844617930842,24.172809600830078,382274800
2015-01-28,169.0815634381223,169.18093632444723,165.55368697285624,165.74415588378906,168514300,26.05321340320937,26.161741992686807,25.539369583129883,25.539369583129883,585908400
2015-01-29,165.9428918715796,167.53292102009297,164.5350421112368,167.2761993408203,173585400,25.763065385875084,26.398726223321972,25.59473676843629,26.334495544433594,337745600
2015-01-30,166.10027140317112,167.42528962048652,164.90774616208577,165.17274475097656,197729700,26.22375403641732,26.57812874843811,25.880452530833228,25.949113845825195,334982000
2015-02-02,165.66956620390064,167.30928141641232,163.85593586689242,167.2181854248047,163107000,26.146240465741013,26.39430197270769,25.709915821075615,26.274700164794922,250956400
2015-02-03,168.11262191798005,169.6446878126908,167.73996099766435,169.6363983154297,124212900,26.24590602450807,26.376581032432806,26.048785008958852,26.279129028320312,207662800
2015-02-04,168.8745240134986,170.08361552524215,168.534983145,168.99046325683594,134306700,26.24590937841236,26.69109363088426,26.203826788886406,26.480682373046875,280598800
2015-02-05,169.65295806926244,170.84548307699293,169.57842841538633,170.6964111328125,97953200,26.68747466730253,26.73417145961258,26.516259315856928,26.669687271118164,168984800
